DIM\Power, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 
118, 0.333274, 0.407596, 0.462992, 0.506471, 0.541792, 0.57121, 0.596182, 0.617699, 0.636467, 0.653003, 
119, 0.333281, 0.407583, 0.462964, 0.506433, 0.541748, 0.571165, 0.596139, 0.61766, 0.636434, 0.652977, 
120, 0.333314, 0.407647, 0.463043, 0.506522, 0.541846, 0.571271, 0.596251, 0.617778, 0.636557, 0.653105, 
121, 0.333399, 0.407699, 0.463069, 0.506528, 0.541839, 0.571254, 0.596228, 0.617753, 0.636532, 0.653081, 
122, 0.333347, 0.407709, 0.463146, 0.506665, 0.542024, 0.571478, 0.596483, 0.618032, 0.63683, 0.653394, 
123, 0.333368, 0.407681, 0.463067, 0.506541, 0.541864, 0.571288, 0.59627, 0.617799, 0.636581, 0.653133, 
124, 0.333138, 0.407486, 0.462919, 0.506439, 0.541803, 0.571266, 0.596281, 0.617841, 0.636652, 0.653229, 
125, 0.333445, 0.40778, 0.46319, 0.506687, 0.54203, 0.571473, 0.596471, 0.618017, 0.636814, 0.65338, 
126, 0.333247, 0.407562, 0.462977, 0.506487, 0.541845, 0.571303, 0.596315, 0.617874, 0.636684, 0.653262, 
127, 0.333396, 0.407715, 0.463107, 0.506587, 0.541917, 0.57135, 0.596343, 0.617888, 0.636687, 0.653259, 
128, 0.333357, 0.407731, 0.46316, 0.506663, 0.542007, 0.57145, 0.596449, 0.617996, 0.636798, 0.65337, 
129, 0.333396, 0.407756, 0.463176, 0.506676, 0.542021, 0.571465, 0.596467, 0.618018, 0.636822, 0.653397, 
130, 0.333338, 0.407685, 0.463105, 0.50661, 0.541961, 0.571412, 0.59642, 0.617976, 0.636786, 0.653366, 
131, 0.333124, 0.407493, 0.46295, 0.506498, 0.541891, 0.571384, 0.59643, 0.618022, 0.636865, 0.653475, 
132, 0.333402, 0.407751, 0.463173, 0.506687, 0.542052, 0.571521, 0.596549, 0.618127, 0.636959, 0.65356, 
133, 0.333327, 0.407699, 0.463136, 0.506656, 0.54202, 0.571485, 0.596507, 0.618078, 0.636902, 0.653497, 
134, 0.333373, 0.407768, 0.463218, 0.506747, 0.54212, 0.571594, 0.596624, 0.618205, 0.637039, 0.653643, 
135, 0.333477, 0.407865, 0.46332, 0.506855, 0.542232, 0.571709, 0.596741, 0.618323, 0.637157, 0.653763, 
136, 0.333366, 0.40772, 0.46316, 0.506691, 0.542072, 0.571556, 0.596598, 0.618189, 0.637033, 0.653648, 
137, 0.333323, 0.407737, 0.463215, 0.506776, 0.542179, 0.571681, 0.596737, 0.61834, 0.637195, 0.653819, 
138, 0.333288, 0.407682, 0.46314, 0.506683, 0.542071, 0.571561, 0.596608, 0.618204, 0.637054, 0.653674, 
139, 0.333288, 0.407686, 0.46316, 0.506718, 0.542118, 0.571616, 0.596668, 0.618267, 0.637118, 0.653738, 
140, 0.3334, 0.407788, 0.463251, 0.506802, 0.542199, 0.571695, 0.596747, 0.618347, 0.637198, 0.65382, 
141, 0.33327, 0.407673, 0.46314, 0.50669, 0.542086, 0.571581, 0.596633, 0.618234, 0.637087, 0.653711, 
142, 0.33334, 0.407766, 0.463258, 0.506832, 0.542249, 0.571764, 0.596834, 0.618452, 0.637323, 0.653963, 
143, 0.333285, 0.407664, 0.463121, 0.50667, 0.542069, 0.571571, 0.596632, 0.618243, 0.637107, 0.653743, 
144, 0.333308, 0.407721, 0.46319, 0.506742, 0.542142, 0.571645, 0.596707, 0.618319, 0.637186, 0.653824, 
145, 0.333368, 0.407792, 0.463279, 0.506845, 0.542254, 0.571763, 0.596828, 0.618443, 0.637312, 0.653953, 
146, 0.333289, 0.407728, 0.46322, 0.506791, 0.542204, 0.571716, 0.596785, 0.618402, 0.637273, 0.653916, 
147, 0.333241, 0.407679, 0.463172, 0.506745, 0.542163, 0.57168, 0.596754, 0.618376, 0.637253, 0.653901, 
148, 0.333356, 0.407774, 0.46325, 0.506809, 0.542214, 0.571721, 0.596786, 0.618402, 0.637273, 0.653916, 
